GeneSym	GeneID	GrantCount	WeightSum	CumulProbCounts	CumulProbWeightSum
ABCC10	89845	18	10.409775	0.533185	0.743574
ABCC11	85320	20	6.377077	0.562385	0.455652
ABCC12	94160	28	0.000000	0.657881	0.000349
ABCC13	150000	8	0.741064	0.357666	0.053259
ABCC2	1244	169	48.360547	0.964199	0.961483
ABCC3	8714	51	10.312382	0.808975	0.736620
ABCC4	10257	111	22.975677	0.928097	0.917881
ABCC5	10057	20	4.031209	0.562385	0.288165
ABCC6	368	34	20.634955	0.711184	0.906740
ABCC6P1	653190	3	0.000000	0.150657	0.000349
ABCC6P2	730013	3	0.000000	0.150657	0.000349
ABCC8	6833	108	47.314813	0.925098	0.960328
ABCC9	10060	50	15.782411	0.804759	0.883642
ABCD1	215	34	4.357329	0.711184	0.311449
ABCD1P1	23785	1	0.436896	0.030678	0.031542
ABCD1P2	26983	1	0.436896	0.030678	0.031542
ABCD1P3	26982	1	0.436896	0.030678	0.031542
ABCD1P4	26957	1	0.436896	0.030678	0.031542
ABCD2	225	26	0.003468	0.637242	0.000597
ABCD3	5825	55	2.382009	0.824411	0.170417
ABCD4	5826	5	0.000000	0.270637	0.000349
ABCE1	6059	39	10.419437	0.746917	0.744263
ABCF1	23	44	2.995112	0.776245	0.214191
ABCF2	10061	86	1.420663	0.897599	0.101780
ABCF3	55324	48	0.563348	0.796329	0.040571
ABCG1	9619	59	18.066505	0.838072	0.894514
ABCG2	9429	331	103.273121	0.990517	0.984370
ABCG4	64137	23	0.552738	0.601872	0.039813
ABCG5	64240	104	10.637371	0.920920	0.759823
ABCG8	64241	114	10.213266	0.930867	0.729544
ABHD1	84696	15	0.000000	0.485536	0.000349
ABHD10	55347	46	5.387429	0.786426	0.384994
ABHD11	83451	24	0.000000	0.613662	0.000349
ABHD12	26090	24	6.343774	0.613662	0.453274
ABHD12B	145447	10	0.000000	0.395594	0.000349
ABHD13	84945	16	0.000000	0.503287	0.000349
ABHD14A	25864	13	0.000000	0.450034	0.000349
ABHD14B	84836	22	0.000000	0.590082	0.000349
ABHD15	116236	3	0.000000	0.150657	0.000349
ABHD16A	7920	40	1.031386	0.753135	0.073987
ABHD16B	140701	16	0.000000	0.503287	0.000349
ABHD17A	81926	8	0.000000	0.357666	0.000349
ABHD17B	51104	10	0.000000	0.395594	0.000349
ABHD17C	58489	4	0.000008	0.210647	0.000350
ABHD2	11057	14	0.000000	0.467785	0.000349
ABHD3	171586	21	0.884711	0.576985	0.063515
ABHD4	63874	12	1.809309	0.432283	0.129528
ABHD5	51099	20	3.561832	0.562385	0.254653
ABHD6	57406	22	0.000000	0.590082	0.000349
ABHD8	79575	20	0.170761	0.562385	0.012541
ABI1	10006	75	18.830405	0.878284	0.898150
ABI2	10152	48	7.731785	0.796329	0.552374
ABI3	51225	26	0.000000	0.637242	0.000349
ABI3BP	25890	21	1.501400	0.576985	0.107545
ABL1	25	361	152.928354	0.992064	0.990891
ABL2	27	67	23.856849	0.860388	0.922076
ABLIM1	3983	71	2.734614	0.869777	0.195592
ABLIM2	84448	16	0.000000	0.503287	0.000349
ABLIM3	22885	24	0.000000	0.613662	0.000349
ABO	28	270	27.705771	0.985583	0.930882
ABR	29	18	2.576858	0.533185	0.184329
ABRA	137735	12	0.552738	0.432283	0.039813
ABRACL	58527	10	0.000000	0.395594	0.000349
ABT1	29777	19	0.552738	0.547785	0.039813
ABTB1	80325	19	0.000000	0.547785	0.000349
ABTB2	25841	20	0.204431	0.562385	0.014945
ACAA1	30	50	8.498423	0.804759	0.607109
ACAA2	10449	34	0.944711	0.711184	0.067799
ACACA	31	78	13.628190	0.884058	0.873388
ACACB	32	55	9.753329	0.824411	0.696706
ACAD10	80724	33	1.613459	0.703513	0.115545
ACAD11	84129	43	1.399199	0.771155	0.100248
ACAD8	27034	30	1.165379	0.676906	0.083554
ACAD9	28976	43	4.526618	0.771155	0.323535
ACADL	33	41	12.100763	0.759352	0.864305
ACADM	34	71	17.484587	0.869777	0.891744
ACADS	35	51	6.338649	0.808975	0.452908
ACADSB	36	58	3.898488	0.834996	0.278689
ACADVL	37	26	5.557306	0.637242	0.397123
ACAN	176	190	14.205008	0.971189	0.876133
ACAP1	9744	23	5.471326	0.601872	0.390984
ACAP2	23527	23	2.606841	0.601872	0.186469
ACAP3	116983	14	0.000000	0.467785	0.000349
ACAT1	38	57	7.855197	0.831468	0.561185
ACAT2	39	61	6.345913	0.844040	0.453427
ACBD3	64746	52	7.299602	0.813190	0.521517
ACBD4	79777	137	0.001759	0.948362	0.000475
ACBD5	91452	31	1.980592	0.686418	0.141757
ACBD6	84320	12	0.884711	0.432283	0.063515
ACBD7	414149	14	0.000000	0.467785	0.000349
ACCS	84680	15	1.000000	0.485536	0.071746
ACCSL	390110	3	0.000000	0.150657	0.000349
ACD	65057	71	18.363663	0.869777	0.895928
ACE	1636	491	162.903072	0.995750	0.991685
ACE2	59272	75	40.178346	0.878284	0.952447
ACER1	125981	16	1.948118	0.503287	0.139439
ACER2	340485	13	0.896869	0.450034	0.064383
ACER3	55331	29	0.943647	0.667393	0.067723
ACF	387569	16	0.000000	0.503287	0.000349
ACHE	43	122	14.494063	0.937714	0.877509
ACIN1	22985	61	3.453836	0.844040	0.246942
ACKR1	2532	173	50.416688	0.965698	0.962976
ACKR2	1238	71	6.530224	0.869777	0.466586
ACKR3	57007	80	34.803084	0.887713	0.945092
ACKR4	51554	58	0.019866	0.834996	0.001768
ACLY	47	68	4.335386	0.862938	0.309882
ACMSD	130013	48	1.132478	0.796329	0.081205
ACN9	57001	38	2.794177	0.740700	0.199845
ACO1	48	82	21.081989	0.891109	0.908867
ACO2	50	43	8.040217	0.771155	0.574395
ACOT1	641371	9	0.000000	0.376630	0.000349
ACOT11	26027	22	0.980592	0.590082	0.070361
ACOT12	134526	16	0.000000	0.503287	0.000349
ACOT13	55856	34	2.490508	0.711184	0.178164
ACOT2	10965	31	0.841874	0.686418	0.060457
ACOT4	122970	15	0.003585	0.485536	0.000605
ACOT6	641372	7	0.000585	0.338702	0.000391
ACOT7	11332	46	0.000000	0.786426	0.000349
ACOT8	10005	42	0.525515	0.765570	0.037870
ACOT9	23597	7	0.000000	0.338702	0.000349
ACOX1	51	22	2.603375	0.590082	0.186222
ACOX2	8309	19	1.028218	0.547785	0.073761
ACOX3	8310	25	0.000116	0.625452	0.000358
ACOXL	55289	92	0.616620	0.906299	0.044374
ACP1	52	87	9.689026	0.899111	0.692115
ACP2	53	30	3.398844	0.676906	0.243016
ACP5	54	27	7.356606	0.648368	0.525587
ACP6	51205	31	0.493829	0.686418	0.035607
ACPP	55	52	30.679083	0.813190	0.936835
ACR	49	9	3.924611	0.376630	0.280554
ACRBP	84519	16	2.833500	0.503287	0.202652
ACRC	93953	3	0.000000	0.150657	0.000349
ACRV1	56	13	2.001747	0.450034	0.143268
ACSBG1	23205	20	2.285265	0.562385	0.163510
ACSBG2	81616	9	0.285265	0.376630	0.020717
ACSF2	80221	27	0.285265	0.648368	0.020717
ACSF3	197322	33	5.619631	0.703513	0.401573
ACSL1	2180	63	14.567280	0.850008	0.877858
ACSL3	2181	61	16.195378	0.844040	0.885607
ACSL4	2182	64	10.962519	0.852737	0.783038
ACSL5	51703	56	9.120113	0.827939	0.651496
ACSL6	23305	70	9.916323	0.867573	0.708343
ACSM1	116285	40	1.224652	0.753135	0.087786
ACSM2A	123876	18	0.000000	0.533185	0.000349
ACSM2B	348158	4	0.000000	0.210647	0.000349
ACSM3	6296	23	0.000000	0.601872	0.000349
ACSM4	341392	17	0.285265	0.518585	0.020717
ACSM5	54988	83	0.285265	0.892807	0.020717
ACSM6	142827	27	3.835245	0.648368	0.274174
ACSS1	84532	33	0.285265	0.703513	0.020717
ACSS2	55902	18	1.944182	0.533185	0.139158
ACSS3	79611	18	1.287845	0.533185	0.092297
ACT	389036	2	1.905190	0.090667	0.136374
ACTA1	58	239	94.879494	0.981554	0.982577
ACTA2	59	177	30.959260	0.967103	0.937396
ACTB	60	294	83.559631	0.987895	0.979553
ACTBL2	345651	25	0.000032	0.625452	0.000352
ACTBP12	100462767	1	0.000846	0.030678	0.000410
ACTBP2	62	3	1.723001	0.150657	0.123366
ACTBP3	63	3	1.723001	0.150657	0.123366
ACTBP4	64	3	1.723001	0.150657	0.123366
ACTBP8	68	5	0.000000	0.270637	0.000349
ACTC1	70	129	22.610186	0.942978	0.916142
ACTG1	71	152	34.903413	0.956744	0.945293
ACTG1P4	648740	1	0.000846	0.030678	0.000410
ACTG1P6	78	1	0.000846	0.030678	0.000410
ACTG1P7	79	1	0.000846	0.030678	0.000410
ACTG1P8	80	1	0.000846	0.030678	0.000410
ACTG2	72	77	16.223915	0.882133	0.885743
ACTL10	170487	3	0.000000	0.150657	0.000349
ACTL6A	86	63	6.110794	0.850008	0.436640
ACTL6B	51412	47	0.767262	0.791516	0.055129
ACTL7A	10881	18	4.469701	0.533185	0.319472
ACTL7B	10880	13	1.169316	0.450034	0.083835
ACTL8	81569	12	0.000000	0.432283	0.000349
ACTL9	284382	5	0.000000	0.270637	0.000349
ACTN1	87	227	32.661666	0.979570	0.940805
ACTN2	88	80	23.081292	0.887713	0.918384
ACTN3	89	95	17.111193	0.910349	0.889967
ACTN4	81	149	30.642620	0.955205	0.936762
ACTR10	55860	19	0.000000	0.547785	0.000349
ACTR1A	10121	38	4.039607	0.740700	0.288764
ACTR1B	10120	21	0.730822	0.576985	0.052528
ACTR2	10097	100	28.648544	0.916467	0.932770
ACTR3	10096	85	22.046023	0.896088	0.913456
ACTR3B	57180	10	0.000000	0.395594	0.000349
ACTR3C	653857	3	0.000000	0.150657	0.000349
ACTR5	79913	24	1.430381	0.613662	0.102474
ACTR6	64431	12	0.115233	0.432283	0.008577
ACTR8	93973	19	1.002430	0.547785	0.071920
ACTRT1	139741	23	0.000000	0.601872	0.000349
ACTRT2	140625	10	0.000000	0.395594	0.000349
ACTRT3	84517	28	0.024549	0.657881	0.002102
ACVR1	90	107	19.832253	0.924088	0.902919
ACVR1B	91	116	10.662912	0.932703	0.761647
ACVR1C	130399	28	1.069984	0.657881	0.076743
ACVR2A	92	167	23.217741	0.963411	0.919033
ACVR2B	93	64	12.545556	0.852737	0.868234
ACVRL1	94	134	23.931544	0.946404	0.922431
ACY1	95	35	6.642261	0.718856	0.474585
ACY3	91703	25	0.956860	0.625452	0.068666
ACYP1	97	10	0.000000	0.395594	0.000349
ACYP2	98	35	0.846230	0.718856	0.060768
AD5	8081	2	0.553293	0.090667	0.039853
AD6	64851	8	1.865303	0.357666	0.133526
AD9	450086	7	4.046557	0.338702	0.289261
ADA	100	104	35.419432	0.920920	0.946326
ADAD1	132612	31	0.000076	0.686418	0.000355
ADAD2	161931	24	0.000000	0.613662	0.000349
ADAL	161823	3	0.000000	0.150657	0.000349
ADAM10	102	94	35.720137	0.909010	0.946928
ADAM11	4185	10	2.173629	0.395594	0.155540
ADAM12	8038	106	25.503091	0.923077	0.926472
ADAM15	8751	57	15.681502	0.831468	0.883161
ADAM17	6868	155	76.113243	0.958187	0.977001
ADAM18	8749	15	0.140872	0.485536	0.010407
ADAM19	8728	101	2.889267	0.917590	0.206634
ADAM2	2515	21	4.637776	0.576985	0.331472
ADAM20	8748	3	0.000000	0.150657	0.000349
ADAM20P3	644325	2	0.000002	0.090667	0.000350
ADAM21	8747	10	0.000000	0.395594	0.000349
ADAM22	53616	12	2.007574	0.432283	0.143684
ADAM23	8745	27	0.106249	0.648368	0.007935
ADAM24P	646479	4	0.000000	0.210647	0.000349
ADAM28	10863	122	0.995112	0.937714	0.071397
ADAM29	11086	28	0.671680	0.657881	0.048305
ADAM30	11085	36	0.000000	0.726527	0.000349
ADAM32	203102	11	0.000000	0.414531	0.000349
ADAM33	80332	44	8.714003	0.776245	0.622501
ADAM3A	1587	5	0.000002	0.270637	0.000350
ADAM5	255926	8	2.838320	0.357666	0.202996
ADAM7	8756	8	0.671680	0.357666	0.048305
ADAM8	101	46	10.215950	0.786426	0.729735
ADAM9	8754	44	20.796918	0.776245	0.907510
ADAMDEC1	27299	15	2.995112	0.485536	0.214191
ADAMTS1	9510	46	17.643620	0.786426	0.892501
ADAMTS10	81794	128	6.147686	0.942265	0.439274
ADAMTS12	81792	63	5.811248	0.850008	0.415254
ADAMTS13	11093	102	55.298370	0.918700	0.966373
ADAMTS14	140766	23	0.000001	0.601872	0.000350
ADAMTS15	170689	11	0.786558	0.414531	0.056507
ADAMTS16	170690	40	4.036987	0.753135	0.288577
ADAMTS17	170691	124	0.924599	0.939266	0.066363
ADAMTS18	170692	31	5.052474	0.686418	0.361080
ADAMTS19	171019	9	0.000000	0.376630	0.000349
ADAMTS2	9509	30	0.012166	0.676906	0.001218
ADAMTS20	80070	26	1.243289	0.637242	0.089116
ADAMTS3	9508	140	0.383350	0.950173	0.027719
ADAMTS4	9507	46	16.336828	0.786426	0.886281
ADAMTS5	11096	34	8.465091	0.711184	0.604730
ADAMTS6	11174	35	0.928082	0.718856	0.066612
ADAMTS7	11173	80	3.170462	0.887713	0.226710
ADAMTS7P3	400406	1	0.000049	0.030678	0.000353
ADAMTS8	11095	35	1.377543	0.718856	0.098702
ADAMTS9	56999	198	2.872950	0.973353	0.205469
ADAMTS9-AS1	101929335	3	0.000000	0.150657	0.000349
ADAMTS9-AS2	100507098	163	0.071139	0.961790	0.005429
ADAMTSL1	92949	71	4.554817	0.869777	0.325549
ADAMTSL2	9719	17	3.558746	0.518585	0.254432
ADAMTSL3	57188	172	1.569113	0.965324	0.112379
ADAMTSL4	54507	32	2.297002	0.695842	0.164348
ADAMTSL4-AS1	574406	3	0.000000	0.150657	0.000349
ADAMTSL5	339366	29	3.524138	0.667393	0.251962
ADAP1	11033	24	2.995862	0.613662	0.214244
ADAP2	55803	15	0.285264	0.485536	0.020716
ADAR	103	134	25.002969	0.946404	0.925471
ADARB1	104	37	10.951323	0.734198	0.782238
ADARB2	105	59	3.630250	0.838072	0.259538
ADAT1	23536	15	0.003468	0.485536	0.000597
ADAT2	134637	9	0.000000	0.376630	0.000349
ADAT3	113179	4	0.003468	0.210647	0.000597
ADCK1	57143	88	0.034344	0.900622	0.002802
ADCK2	90956	28	0.000000	0.657881	0.000349
ADCK3	56997	43	6.754121	0.771155	0.482572
ADCK4	79934	43	5.242255	0.771155	0.374630
ADCK5	203054	29	0.000000	0.667393	0.000349
ADCY1	107	54	20.214903	0.820883	0.904740
ADCY10	55811	28	18.343325	0.657881	0.895832
ADCY10P1	221442	3	0.000000	0.150657	0.000349
ADCY2	108	66	6.320006	0.857838	0.451577
ADCY3	109	351	19.051660	0.991594	0.899203
ADCY4	196883	29	6.351874	0.667393	0.453853
ADCY5	111	150	15.824852	0.955718	0.883844
ADCY6	112	52	14.344107	0.813190	0.876795
ADCY7	113	75	13.600063	0.878284	0.873254
ADCY8	114	44	14.904967	0.776245	0.879465
ADCY9	115	154	6.014704	0.957714	0.429780
ADCYAP1	116	67	34.714088	0.860388	0.944914
ADCYAP1R1	117	31	19.374851	0.686418	0.900742
ADD1	118	107	26.078283	0.924088	0.927624
ADD2	119	41	14.060300	0.759352	0.875445
ADD3	120	61	12.739638	0.844040	0.869158
ADD3-AS1	100505933	1	0.046778	0.030678	0.003689
ADGB	79747	1	1.000000	0.030678	0.071746
ADH1A	124	113	16.517071	0.929944	0.887139
ADH1B	125	269	80.998984	0.985474	0.978676
ADH1C	126	247	51.538902	0.982737	0.963757
ADH4	127	117	9.530001	0.933549	0.680761
ADH5	128	144	16.211519	0.952496	0.885684
ADH5P2	343296	4	0.000000	0.210647	0.000349
ADH6	130	82	7.057230	0.891109	0.504213
ADH7	131	107	15.339259	0.924088	0.881532
ADHD1	450087	3	1.089536	0.150657	0.078139
ADHD2	450088	3	1.089536	0.150657	0.078139
ADHD3	450089	3	1.089536	0.150657	0.078139
ADHD4	450090	3	1.089536	0.150657	0.078139
ADHFE1	137872	17	0.000000	0.518585	0.000349
ADI1	55256	14	1.730822	0.467785	0.123925
ADIG	149685	3	0.000000	0.150657	0.000349
ADIPOQ	9370	615	233.273137	0.997372	0.995155
ADIPOQ-AS1	100874095	7	0.000000	0.338702	0.000349
ADIPOR1	51094	140	31.610450	0.950173	0.938700
ADIPOR2	79602	100	23.098718	0.916467	0.918467
ADIPQTL2	171511	4	1.106470	0.210647	0.079348
ADIPQTL3	171512	5	1.122703	0.270637	0.080507
ADIRF	10974	20	0.000002	0.562385	0.000350
ADK	132	48	4.049275	0.796329	0.289455
ADM	133	232	25.867437	0.980433	0.927202
ADM2	79924	10	5.098320	0.395594	0.364353
ADM5	199800	3	0.000000	0.150657	0.000349
ADNP	23394	54	2.843621	0.820883	0.203375
ADNP2	22850	22	0.000000	0.590082	0.000349
ADO	84890	51	0.956860	0.808975	0.068666
ADORA1	134	81	41.756725	0.889411	0.954190
ADORA2A	135	185	90.768394	0.969705	0.981520
ADORA2A-AS1	646023	3	0.000000	0.150657	0.000349
ADORA2B	136	112	68.026435	0.929020	0.973601
ADORA3	140	57	28.607383	0.831468	0.932687
ADPGK	83440	78	0.620109	0.884058	0.044623
ADPGK-AS1	100287559	58	0.000000	0.834996	0.000349
ADPRH	141	22	1.461645	0.590082	0.104706
ADPRHL1	113622	12	1.461645	0.432283	0.104706
ADPRHL2	54936	14	1.821781	0.467785	0.130419
ADPRM	56985	5	0.000000	0.270637	0.000349
ADRA1A	148	74	26.491052	0.876359	0.928450
ADRA1B	147	73	17.654036	0.874184	0.892551
ADRA1D	146	36	13.644255	0.726527	0.873464
ADRA2A	150	179	44.956992	0.967792	0.957725
ADRA2B	151	75	19.161992	0.878284	0.899728
ADRA2C	152	91	33.507298	0.904943	0.942498
ADRB1	153	226	83.549218	0.979395	0.979550
ADRB2	154	658	263.310111	0.997752	0.995995
ADRB3	155	148	35.861009	0.954692	0.947210
ADRBK1	156	133	56.740885	0.945748	0.967377
ADRBK2	157	83	24.915529	0.892807	0.925296
ADRM1	11047	52	7.760473	0.813190	0.554422
ADSL	158	56	6.927941	0.827939	0.494982
ADSS	159	31	3.472052	0.686418	0.248243
ADSSL1	122622	15	1.496348	0.485536	0.107184
ADTRP	84830	26	4.004017	0.637242	0.286223
AEBP1	165	18	6.979351	0.533185	0.498653
AEBP2	121536	109	0.023726	0.926109	0.002043
AEN	64782	19	1.656380	0.547785	0.118610
AES	166	56	12.976990	0.827939	0.870288
AFAP1	60312	30	2.878758	0.676906	0.205883
AFAP1-AS1	84740	6	1.151711	0.319738	0.082578
AFAP1L1	134265	13	1.000000	0.450034	0.071746
AFAP1L2	84632	34	0.000000	0.711184	0.000349
AFF1	4299	161	18.108231	0.960914	0.894712
AFF2	2334	28	3.974957	0.657881	0.284148
AFF3	3899	51	1.813199	0.808975	0.129806
AFF4	27125	53	5.163399	0.817354	0.368999
AFG3L1P	172	11	0.286535	0.414531	0.020807
AFG3L2	10939	44	3.808589	0.776245	0.272270
AFM	173	25	2.223383	0.625452	0.159092
AFMID	125061	11	0.000000	0.414531	0.000349
AFP	174	45	22.401152	0.781336	0.915147
AFTPH	54812	17	0.000000	0.518585	0.000349
AGA	175	49	1.953711	0.800544	0.139838
AGAP1	116987	74	10.156421	0.876359	0.725485
AGAP11	119385	3	0.000000	0.150657	0.000349
AGAP2	116986	46	9.426077	0.786426	0.673341
AGAP2-AS1	100130776	5	0.000000	0.270637	0.000349
AGAP3	116988	6	0.093342	0.319738	0.007014
AGAP4	119016	6	1.865303	0.319738	0.133526
AGAP5	729092	3	0.000000	0.150657	0.000349
AGAP6	414189	3	0.000000	0.150657	0.000349
AGAP9	642517	3	0.000000	0.150657	0.000349
AGBL1	123624	73	5.393297	0.874184	0.385413
AGBL1-AS1	727915	13	0.702936	0.450034	0.050537
AGBL2	79841	15	1.356118	0.485536	0.097172
AGBL3	340351	11	0.000000	0.414531	0.000349
AGBL4	84871	4	0.000000	0.210647	0.000349
AGBL5	60509	15	2.474421	0.485536	0.177015
AGER	177	285	101.500701	0.987094	0.984018
AGFG1	3267	53	11.737413	0.817354	0.838363
AGFG2	3268	15	1.280387	0.485536	0.091765
AGGF1	55109	26	2.556973	0.637242	0.182909
AGK	55750	43	3.211425	0.771155	0.229635
AGL	178	34	5.625163	0.711184	0.401968
AGMAT	79814	43	4.509244	0.771155	0.322295
AGMO	392636	24	0.000000	0.613662	0.000349
AGO1	26523	87	28.284080	0.899111	0.932040
AGO2	27161	184	66.350197	0.969405	0.972805
AGO3	192669	33	9.092455	0.703513	0.649521
AGO4	192670	15	6.637327	0.485536	0.474233
AGPAT1	10554	109	2.204822	0.926109	0.157767
AGPAT2	10555	34	10.960603	0.711184	0.782901
AGPAT3	56894	61	1.332058	0.844040	0.095454
AGPAT4	56895	16	0.000000	0.503287	0.000349
AGPAT4-IT1	79992	10	0.000000	0.395594	0.000349
AGPAT5	55326	39	0.332058	0.746917	0.024057
AGPAT6	137964	13	0.612641	0.450034	0.044090
AGPAT9	84803	15	0.000000	0.485536	0.000349
AGPS	8540	51	5.762792	0.808975	0.411794
AGR2	10551	76	17.340874	0.880209	0.891060
AGR3	155465	23	2.588610	0.601872	0.185168
AGRN	375790	25	9.263117	0.625452	0.661706
AGRP	181	47	11.229589	0.791516	0.802106
AGT	183	451	163.996946	0.994948	0.991765
AGTPBP1	23287	17	6.489206	0.518585	0.463658
AGTR1	185	266	95.977017	0.985138	0.982859
AGTR2	186	84	25.770687	0.894505	0.927008
AGTRAP	57085	58	4.695091	0.834996	0.335564
AGXT	189	28	6.523256	0.657881	0.466089
AGXT2	64902	33	7.766384	0.703513	0.554844
AHCTF1	25909	25	1.169975	0.625452	0.083882
AHCY	191	101	11.357328	0.917590	0.811226
AHCYL1	10768	72	9.328024	0.871980	0.666340
AHCYL2	23382	24	0.332058	0.613662	0.024057
AHDC1	27245	16	1.109918	0.503287	0.079594
AHI1	54806	51	6.536137	0.808975	0.467008
AHNAK	79026	130	12.946297	0.943691	0.870142
AHNAK2	113146	25	0.884711	0.625452	0.063515
AHR	196	277	111.547585	0.986318	0.985915
AHRR	57491	56	15.257422	0.827939	0.881143
AHSA1	10598	43	4.117804	0.771155	0.294347
AHSA2	130872	32	0.000000	0.695842	0.000349
AHSG	197	145	26.442125	0.953053	0.928352
AHSP	51327	37	9.606017	0.734198	0.686188
AIC	192	1	0.980592	0.030678	0.070361
AICDA	57379	171	100.302077	0.964949	0.983780
AIDA	64853	11	0.000000	0.414531	0.000349
AIF1	199	58	2.019513	0.834996	0.144536
